Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
516265,0.45,0,0.0,22358.9,3599.112,31,31,100.0,1401/01
529115,6.75,0,0.0,59008.2,17707.3,31,31,100.0,1401/01
911146,1.93,1,3.23,19843.6,184.217,31,31,100.0,1401/01
515800,32.04,0,0.0,36112.4,74439.9,31,31,100.0,1401/01
517883,,0,0.0,741.6,27390.62,31,31,100.0,1401/01
806053,,0,0.0,0.0,0.0,15,31,48.39,1401/01
108154,,0,0.0,,0.0,31,31,100.0,1401/01
517048,14.39,0,0.0,43875.1,10594.9,31,31,100.0,1401/01
910367,7.88,0,0.0,2434.8,864.98,31,31,100.0,1401/01
603076,33.95,0,0.0,6.3,753.936,31,31,100.0,1401/01
516579,9.23,0,0.0,52511.3,10857.0,31,31,100.0,1401/01
805821,3.82,0,0.0,3679.8,558.104,31,31,100.0,1401/01
102137,1.53,0,0.0,2053.1,675.081,31,31,100.0,1401/01
804714,2.11,0,0.0,12566.3,292.459,31,31,100.0,1401/01
103226,4.15,0,0.0,14582.8,1220.89,31,31,100.0,1401/01
805246,2.08,0,0.0,16552.3,416.756,31,31,100.0,1401/01
102531,6.43,0,0.0,32798.5,5819.23,31,31,100.0,1401/01
103210,7.27,0,0.0,9637.5,7482.98,31,31,100.0,1401/01
804575,9.48,0,0.0,4314.6,2445.17,31,31,100.0,1401/01
804877,2.01,0,0.0,7969.8,310.159,31,31,100.0,1401/01
529081,,0,0.0,0.0,0.0,4,31,12.9,1401/01
806428,0.41,0,0.0,878.0,17.108,31,31,100.0,1401/01
529392,26.34,0,0.0,41796.5,51400.8,31,31,100.0,1401/01
804917,2.05,0,0.0,2390.7,5421.015,31,31,100.0,1401/01
519327,,0,0.0,,0.0,31,31,100.0,1401/01
804873,5.21,0,0.0,233314.7,11525.0,31,31,100.0,1401/01
804872,14.28,0,0.0,64506.3,35922.4,31,31,100.0,1401/01
102251,,0,0.0,0.0,0.0,31,31,100.0,1401/01
515737,8.34,0,0.0,126112.2,20493.6,31,31,100.0,1401/01
518987,3.52,0,0.0,1527.1,7334.548,31,31,100.0,1401/01
604203,3.74,0,0.0,4174.4,9776.68,31,31,100.0,1401/01
805264,0.69,0,0.0,37414.5,891.47,31,31,100.0,1401/01
516764,2.77,0,0.0,51639.1,3159.84,31,31,100.0,1401/01
601207,,0,0.0,0.0,0.0,31,31,100.0,1401/01
517227,16.07,0,0.0,3712.6,13343.36,31,31,100.0,1401/01
517227,16.9,0,0.0,2656.0,13319.87,31,31,100.0,1401/01
514357,20.72,0,0.0,66.6,5692.527,31,31,100.0,1401/01
608931,,0,0.0,,0.0,31,31,100.0,1401/01
605368,10.26,0,0.0,29785.9,21436.48,31,31,100.0,1401/01
603542,6.77,0,0.0,9377.2,1457.9,31,31,100.0,1401/01
514360,7.67,0,0.0,9078.8,3413.72,31,31,100.0,1401/01
514814,6.85,0,0.0,7619.2,18325.94,31,31,100.0,1401/01
516918,2.32,0,0.0,24318.7,42045.83,31,31,100.0,1401/01
525966,,0,0.0,0.0,0.0,31,31,100.0,1401/01
517780,13.26,0,0.0,75120.9,8644.2,31,31,100.0,1401/01
100001,26.86,0,0.0,66587.7,546337.218,31,31,100.0,1401/01
100004,32.25,0,0.0,83202.6,10531.2,31,31,100.0,1401/01
518168,6.09,0,0.0,54039.5,13385.3,31,31,100.0,1401/01
515713,9.96,0,0.0,89757.8,3176.6,31,31,100.0,1401/01
805446,27.75,0,0.0,23031.3,22051.7,31,31,100.0,1401/01
514366,8.56,0,0.0,41668.5,20758.33,31,31,100.0,1401/01
805879,,0,0.0,0.0,0.0,31,31,100.0,1401/01
911438,1.47,0,0.0,1042.2,699.061,31,31,100.0,1401/01
910902,17.82,0,0.0,6796.5,13374.63,31,31,100.0,1401/01
606085,,0,0.0,,0.0,31,31,100.0,1401/01
602428-1,,0,0.0,,0.0,31,31,100.0,1401/01
602428-2,,0,0.0,,0.0,31,31,100.0,1401/01
602667,,0,0.0,,0.0,31,31,100.0,1401/01
111111,6.32,0,0.0,915.7,268.31,31,31,100.0,1401/01
111122,3.28,0,0.0,22372.0,968.81,31,31,100.0,1401/01
111111,8.08,0,0.0,67666.7,10846.6,31,31,100.0,1401/01
111111,7.43,0,0.0,122179.0,15459.0,31,31,100.0,1401/01
111111,3.05,0,0.0,68675.2,4959.32,31,31,100.0,1401/01
111111,3.05,0,0.0,53752.1,5091.54,31,31,100.0,1401/01
111111,0.57,0,0.0,2.7,8.082,31,31,100.0,1401/01
927140,6.89,0,0.0,4259.2,16112.64,31,31,100.0,1401/01
516349,4.72,0,0.0,142730.2,1371.8,31,31,100.0,1401/01
514617,7.58,0,0.0,23995.5,1903.08,31,31,100.0,1401/01
606007,32.92,1,3.23,9903.0,83242.62,31,31,100.0,1401/01
515437,,0,0.0,0.0,0.0,12,31,38.71,1401/01
603405,1.84,1,3.23,221339.5,9417.38,31,31,100.0,1401/01
603463,27.31,0,0.0,37007.6,41448.8,31,31,100.0,1401/01
606009,26.19,1,3.23,22423.7,6843.19,31,31,100.0,1401/01
514901,5.15,17,54.84,590763.8,1477465.5,31,31,100.0,1401/01
514377,21.31,0,0.0,212.1,17144.51,31,31,100.0,1401/01
515590,3.17,0,0.0,11531.8,586.8,31,31,100.0,1401/01
606010,18.21,5,16.13,60869.3,60545.68,31,31,100.0,1401/01
514628,3.17,0,0.0,2008.2,138.21,31,31,100.0,1401/01
302159,9.31,0,0.0,4421.7,5949.66,31,31,100.0,1401/01
