Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
514968,کشاورزی,مشهد,909801034944.0,125.0,1400/02/18,1403/07/13 - 02:09:25,246680.67,127314.2,13.28
608533,کشاورزی,کاشمر,909801056029.0,100.0,1403/02/03,1404/01/28 - 03:10:40,,,
804572,کشاورزی,مشهد,909801033956.0,150.0,1399/11/19,1404/01/28 - 03:09:53,942019.9,9228.7,0.57
804570,کشاورزی,مشهد,909801034018.0,200.0,1399/11/19,1404/01/28 - 02:09:36,1492758.0,2139015.2,18.85
622084,کشاورزی,تربت حیدریه,909801051643.0,50.0,1402/03/09,1404/01/22 - 03:10:18,,,
515600,کشاورزی,مشهد,909801053839.0,150.0,1403/03/05,1404/01/28 - 02:48:13,,,
529205,کشاورزی,مشهد,909801041115.0,150.0,1401/01/23,1402/01/13 - 02:10:32,290432.87,235139.2,22.65
604132,کشاورزی,تربت حیدریه,909801056289.0,100.0,1403/06/17,1404/01/26 - 02:58:57,,,
514312,کشاورزی,مشهد,909801039717.0,150.0,1401/01/09,1404/01/28 - 02:04:50,262945.7,502929.9,10.62
603246,کشاورزی,تربت حیدریه,909801037943.0,150.0,1400/11/06,1404/01/28 - 03:09:04,499322.8,987366.9,28.43
603039,کشاورزی,تربت حیدریه,909801056293.0,100.0,1403/02/26,1404/01/28 - 03:11:35,,,
603190,کشاورزی,تربت حیدریه,909801034954.0,50.0,1400/03/10,1401/09/14 - 02:11:31,0.0,,
515767,کشاورزی,مشهد,909801039632.0,125.0,1401/01/16,1404/01/28 - 02:10:44,266319.6,606515.1,8.46
514334,کشاورزی,مشهد,909801047207.0,150.0,1401/10/10,1403/02/26 - 02:59:54,113450.9,10412.6,36.64
529339,کشاورزی,مشهد,909801034771.0,150.0,1400/01/15,1404/01/12 - 01:47:47,299692.5,418820.6,30.68
603045,کشاورزی,تربت حیدریه,909801049726.0,200.0,1401/11/28,1404/01/28 - 03:10:39,99323.32,709.6,38.57
927010,کشاورزی,تایباد,909801035426.0,150.0,1400/04/01,1403/12/16 - 09:30:07,,,
514155,کشاورزی,مشهد,909801032480.0,50.0,1399/06/21,1404/01/28 - 02:10:58,99837.47,86445.3,7.11
603252,کشاورزی,تربت حیدریه,909801046027.0,125.0,1401/11/16,1404/01/14 - 02:12:29,51621.61,2579.6,15.77
805785,کشاورزی,نیشابور,909801036729.0,50.0,1400/07/22,1401/01/28 - 02:08:02,0.0,0.0,
603396,کشاورزی,تربت حیدریه,909801041200.0,150.0,1401/03/18,1404/01/28 - 02:10:36,334305.2,61191.2,24.06
603111,کشاورزی,تربت حیدریه,909801052907.0,150.0,1402/04/27,1404/01/28 - 03:10:22,,,
514596,کشاورزی,مشهد,909801033225.0,100.0,1399/08/05,1403/11/10 - 02:10:09,395626.6,390976.5,7.19
529106,کشاورزی,مشهد,909801035850.0,200.0,1400/06/02,1404/01/28 - 02:07:48,538673.5,1089266.5,26.86
