Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
529193,1.24,7,22.58,11809.1,3228.05,31,31,100.0,1401/03
100507,0.41,2,6.45,1350.3,16.852,31,31,100.0,1401/03
540710,5.75,4,12.9,2900.9,23071.397,31,31,100.0,1401/03
107149,18.87,3,9.68,45723.8,100257.23,31,31,100.0,1401/03
602411,1.88,1,3.23,5031.6,1136.184,31,31,100.0,1401/04
515565,6.53,2,6.45,29632.1,4939.87,31,31,100.0,1401/04
804990,2.31,7,22.58,111682.9,107196.1,31,31,100.0,1401/04
806067,0.79,1,3.23,5240.0,84.41,31,31,100.0,1401/04
529079,18.74,1,3.23,84932.9,49361.1,31,31,100.0,1401/04
910813,8.59,2,6.45,63.0,1452.368,31,31,100.0,1401/04
529108,21.83,1,3.23,165459.6,44755.7,31,31,100.0,1401/04
515961,0.6,1,3.23,37.0,6.787,31,31,100.0,1401/04
805895,0.67,2,6.45,,0.07,31,31,100.0,1401/04
517316,4.02,1,3.23,10605.0,588.86,31,31,100.0,1401/04
601559,1.58,3,9.68,5079.5,348.182,31,31,100.0,1401/04
514968,12.45,1,3.23,24367.8,16415.12,31,31,100.0,1401/04
517936,2.7,1,3.23,100031.4,904.8,31,31,100.0,1401/04
912936,0.44,2,6.45,195.7,3.689,31,31,100.0,1401/04
514025,0.35,1,3.23,1.5,-55664.65,27,31,87.1,1401/04
516824,4.18,1,3.23,1024.6,100.936,31,31,100.0,1401/04
615159,2.77,1,3.23,26.0,34.278,31,31,100.0,1401/04
529150,11.19,31,100.0,14988.0,-29424.09,31,31,100.0,1401/04
529161,13.11,12,38.71,443407.2,2293207.0,31,31,100.0,1401/04
804872,8.67,1,3.23,233285.2,20862.7,31,31,100.0,1401/04
805007,58.3,3,9.68,0.0,164.1,31,31,100.0,1401/04
212153,17.42,1,3.23,52.8,4656.805,9,31,29.03,1401/04
530865,2.78,2,6.45,3153.9,2081.958,31,31,100.0,1401/04
516691,0.82,1,3.23,3150.7,9.128,31,31,100.0,1401/04
601510,2.95,1,3.23,193.8,221.435,31,31,100.0,1401/04
222224,0.73,1,3.23,33.5,74.364,4,31,12.9,1401/04
517930,8.72,1,3.23,72709.5,20626.9,31,31,100.0,1401/04
514095,2.71,1,3.23,103786.7,174805.34,31,31,100.0,1401/04
516355,5.78,1,3.23,91987.0,6940.67,31,31,100.0,1401/04
517921,1.0,1,3.23,,-2.86,31,31,100.0,1401/04
514097,1.2,31,100.0,652742.5,2819846.63,31,31,100.0,1401/04
517925,49.03,1,3.23,,115.528,31,31,100.0,1401/04
618399,2.31,1,3.23,8527.8,955.265,31,31,100.0,1401/04
604034,3.01,1,3.23,13156.9,971.79,31,31,100.0,1401/04
601009,3.45,3,9.68,6569.4,634.17,31,31,100.0,1401/04
529124,1.82,1,3.23,2074263.5,2629.4,31,31,100.0,1401/04
805663,1.81,4,12.9,97360.2,661.29,31,31,100.0,1401/04
602871,35.25,1,3.23,37500.1,69916.4,31,31,100.0,1401/04
805135,0.49,1,3.23,7.5,3.646,31,31,100.0,1401/04
518172,0.9,1,3.23,11977.5,239.793,31,31,100.0,1401/04
912919,5.2,1,3.23,11614.6,3739.03,31,31,100.0,1401/04
518735,2.23,2,6.45,5953.7,352.248,31,31,100.0,1401/04
514349,23.5,1,3.23,753262.1,30465.0,31,31,100.0,1401/04
518384,2.93,3,9.68,23.4,68.652,31,31,100.0,1401/04
604801,1.95,1,3.23,3820.1,408.859,31,31,100.0,1401/04
804571,22.05,1,3.23,51876.8,360732.6,31,31,100.0,1401/04
529547,1.72,2,6.45,6073.9,21.748,31,31,100.0,1401/04
607067,9.52,1,3.23,65641.9,2098.5,31,31,100.0,1401/04
524216,0.5,2,6.45,546.6,9.756,31,31,100.0,1401/04
529580,2.62,1,3.23,3317.0,1267.757,31,31,100.0,1401/04
529012,20.72,3,9.68,322146.9,42479.7,31,31,100.0,1401/04
529099,0.92,2,6.45,3292.7,48.803,31,31,100.0,1401/04
602414,0.58,1,3.23,5981.6,17.434,31,31,100.0,1401/04
107146,24.16,1,3.23,10664.2,46563.73,31,31,100.0,1401/04
515478,8.94,31,100.0,835.7,-23530.1,31,31,100.0,1401/04
514922,3.13,6,19.35,565.9,-317.149,31,31,100.0,1401/04
805657,1.8,7,22.58,6840.2,18809.925,31,31,100.0,1401/04
529014,4.19,16,51.61,1415270.4,2909972.0,31,31,100.0,1401/04
518141,1.41,4,12.9,1929768.3,1076.13,31,31,100.0,1401/04
515467,0.4,4,12.9,0.4,4.937,31,31,100.0,1401/04
615771,0.47,1,3.23,89.6,2.773,31,31,100.0,1401/04
615123,0.38,4,12.9,12039.9,79.716,31,31,100.0,1401/04
805347,0.78,8,25.81,149262.6,95461.9,31,31,100.0,1401/04
604352,1.32,2,6.45,1224.5,5.581,31,31,100.0,1401/04
514563,17.11,1,3.23,88580.7,12077.4,31,31,100.0,1401/04
517446,1.62,1,3.23,8.1,-2.91,31,31,100.0,1401/04
