,Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
113,603016,کشاورزی,تربت حیدریه,909801036740.0,200.0,1400/09/09,1404/01/28 - 03:10:16,446424.5,1090948.6,16.13
114,222222,,مشهد,909801032305.0,50.0,1399/03/25,1404/01/28 - 02:10:50,0.0,,
115,انبار امامیه,,مشهد,909801065449.0,150.0,1403/07/09,,,,
116,ایستگاه صدف,,مشهد,909801065297.0,100.0,1403/07/11,,,,
117,تصفیه خانه سد دوستی,,مشهد,909801065442.0,200.0,1403/07/18,,,,
118,علمک اباصلت,,مشهد,909801058491.0,200.0,1403/07/24,,,,
119,323234,,بجستان,909801044790.0,100.0,1401/06/08,,,,
120,323233,,بجستان,909801044791.0,100.0,1401/06/08,,,,
121,515151,,بجستان,909801044808.0,80.0,1401/08/10,,,,
122,323232,,بجستان,909801044809.0,80.0,1401/06/08,,,,
123,515152,,بجستان,909801044827.0,200.0,1401/08/11,,,,
124,402121980430,,بجستان,402121980430.0,100.0,1398/08/14,,,,
125,401121980430,,بجستان,401121980430.0,100.0,1398/08/14,,,,
126,313132,,تایباد,909801044753.0,150.0,1401/08/30,,,,
127,313135,,تایباد,909801044754.0,150.0,1401/09/03,,,,
128,313133,,تایباد,909801044755.0,150.0,1401/09/01,,,,
129,313131,,تایباد,909801044756.0,150.0,1401/08/29,,,,
130,313134,,تایباد,909801046947.0,150.0,1401/09/02,,,,
131,46978,,مشهد,909801046978.0,100.0,1402/05/22,1403/03/29 - 10:43:23,,,
132,601041,شرب روستایی,تربت حیدریه,909801056294.0,100.0,1403/06/24,1404/01/28 - 03:10:38,,,
133,601621980416,کشاورزی,طرقبه,601621980416.0,150.0,1398/08/14,1404/01/25 - 01:01:16,,,
134,618408,,کاشمر,909801061845.0,80.0,1403/08/29,1404/01/28 - 03:06:45,,,
135,212140,,ریوش,909801041735.0,100.0,1401/04/06,,,,
136,شهرک صنعتی,,فیروزه,909801045461.0,100.0,1402/05/21,1403/02/26 - 01:55:34,0.0,,
137,مخزن بتو,,فیروزه,909801045467.0,100.0,1401/10/15,1404/01/28 - 01:57:02,,,
138,مخزن سلیمانی,,فیروزه,909801046094.0,150.0,1402/07/01,1402/11/01 - 02:01:56,0.0,,
139,200354,,قوچان,909801045556.0,150.0,1401/12/06,,,,
140,201265,,قوچان,909801045560.0,150.0,1401/12/07,,,,
141,555555,,مشهد,909801033691.0,100.0,1399/09/30,1403/06/05 - 02:22:28,66422.341,135193.1,5.39
142,479654,,مشهد,929801000739.0,15.0,1403/07/29,1404/01/27 - 13:48:52,,,
143,917062,,مشهد,929801000738.0,15.0,1403/07/14,1404/01/27 - 13:54:41,,,
144,319197,,مشهد,929801001425.0,15.0,1403/12/29,1404/01/28 - 14:18:19,,,
145,560142,,مشهد,929801000685.0,15.0,1403/07/28,1404/01/25 - 13:51:53,,,
146,۴۰۰۹۷۲۴۴,,مشهد,929801000684.0,15.0,1403/07/14,1404/01/27 - 13:37:26,,,
147,930639,,مشهد,929801000541.0,15.0,1403/08/09,1404/01/27 - 13:52:08,,,
148,479657,,مشهد,929801000711.0,15.0,1403/07/30,1404/01/27 - 13:50:57,,,
149,160172980701,,نیشابور,160172980701.0,400.0,1398/08/14,1404/01/28 - 00:30:21,,,
150,100172980628,,نیشابور,100172980628.0,250.0,1398/08/14,1401/02/11 - 23:10:33,,,
151,چاه شماره 13,,کاشمر,909801036056.0,150.0,1400/06/14,1404/01/28 - 01:09:48,1322102.0,413017.0,29.69
152,مخزن کسرینه,,کاشمر,909801048332.0,250.0,1402/08/17,,,,
153,مخزن کسرینه 2,,کاشمر,909801048550.0,250.0,1402/03/17,1404/01/28 - 02:28:30,0.0,,
154,چاه C,,کاشمر,909801048606.0,200.0,1401/12/12,1403/02/28 - 03:10:37,,,
155,چاه D,,کاشمر,909801048607.0,200.0,1401/12/11,1403/12/08 - 02:21:50,17652.42,320.6,14.58
156,چاه G,,کاشمر,909801048608.0,200.0,1401/12/14,1404/01/28 - 02:25:37,33578.66,300.1,29.24
157,چاه K,,کاشمر,909801048609.0,200.0,1401/12/11,1403/08/14 - 02:39:47,-5105.942,,
158,پمپاژ چاه D,شرب شهری,کاشمر,909801048650.0,150.0,1401/12/22,1404/01/28 - 02:21:12,2964.427,26.6,19.48
159,بهاریه 2,شرب روستایی,کاشمر,909801048651.0,150.0,1402/01/19,1404/01/28 - 02:06:21,0.0,,
160, تبادل چاه شماره 6,شرب شهری,کاشمر,909801048652.0,150.0,1401/12/23,1404/01/28 - 02:24:46,196.861,,10.6
161,بهاره 2 مخزن 2,,کاشمر,909801048653.0,150.0,1402/01/21,1404/01/28 - 02:20:24,,,
162,بهاریه 2 مخزن شماره 1,,کاشمر,909801048654.0,150.0,1402/01/20,1404/01/28 - 02:22:15,0.0,,
163,بهاریه 3,شرب روستایی,کاشمر,909801048655.0,150.0,1402/01/15,1404/01/28 - 02:19:39,0.0,,
164,چاه بهاریه 1,شرب روستایی,کاشمر,909801048656.0,150.0,1401/12/22,1404/01/28 - 03:10:27,6830.093,208.0,14.24
165,چاه حاجی آباد,,کاشمر,909801048679.0,80.0,1401/12/14,1404/01/28 - 02:20:21,0.0,,
166,چاه F,,کاشمر,909801048882.0,200.0,1401/12/13,1404/01/28 - 02:14:34,37319.84,275.1,35.18
167,چاه شماره 6,شرب شهری,کاشمر,909801048883.0,200.0,1401/12/23,1404/01/28 - 02:11:46,8407.424,69.8,29.43
168,چاه شماره 10,شرب شهری,کاشمر,909801048884.0,200.0,1401/12/24,1404/01/28 - 02:22:30,6865.629,99.8,18.32
169,چاه شماره 9,شرب شهری,کاشمر,909801048885.0,200.0,1401/12/21,1404/01/28 - 02:20:22,14658.84,146.1,25.94
170,چاه فرگ,شرب روستایی,کاشمر,909801049011.0,100.0,1401/12/21,1404/01/28 - 03:10:40,3632.917,43.8,13.04
171,فروتقه,,کاشمر,909801049012.0,100.0,1402/01/18,1404/01/28 - 02:27:02,0.0,1.5,15.1
172,چاه نای,شرب روستایی,کاشمر,909801049013.0,100.0,1402/01/16,1403/11/25 - 13:14:10,0.0,,
173,چاه حوضک,,کاشمر,909801049014.0,100.0,1401/12/15,1404/01/28 - 02:11:47,1.418,,
174,عشرت آباد,,کاشمر,909801049015.0,100.0,1402/01/17,1403/05/26 - 02:51:52,0.0,,
175,ممر آباد,,کاشمر,909801049016.0,100.0,1402/01/22,1404/01/28 - 02:24:08,,,
176,چاه فرشه,شرب روستایی,کاشمر,909801049017.0,100.0,1402/01/15,1404/01/28 - 02:11:30,0.0,,
177,قوچ پلنگ,,کاشمر,909801049018.0,100.0,1402/01/16,1404/01/28 - 02:31:36,0.0,3.2,15.1
178,چاه مغان,,کاشمر,909801052978.0,150.0,1402/10/06,1404/01/28 - 03:13:15,,,
179,چاه کسرینه 2,,کاشمر,909801052979.0,150.0,1402/10/05,1404/01/28 - 02:39:41,,,
180,آب و فاضلاب کاشمر فرگ2,,کاشمر,909801058595.0,100.0,1403/04/14,1403/08/26 - 09:55:01,,,
181,109264,صنعتی,سبزوار,909801032336.0,100.0,1399/03/31,1403/03/17 - 01:27:44,,,
